,event_date,country,counts,population,events_per_capita,gdp_per_capita,Western,Asia,South America,public_trust_percentage
0,2021,Australia,681,25685412,2.6513104014060600,60697.2454358579,1,0,0,51.9
1,2022,Australia,794,26005540,3.053195588324640,65099.8459118981,1,0,0,49.9
2,2020,Austria,354,8916864,3.970005598380780,48789.4978498872,1,0,0,62.6
3,2021,Austria,562,8955797,6.275265060161590,53517.8904509612,1,0,0,61.0
4,2022,Austria,294,9041851,3.2515466136303300,52084.6811953372,1,0,0,61.0
5,2020,Belgium,784,11538604,6.7945827762179900,45609.0034936111,1,0,0,29.5
6,2021,Belgium,833,11586195,7.189590715502370,51850.3971840229,1,0,0,47.3
7,2022,Belgium,523,11685814,4.475511932673240,49926.8254295305,1,0,0,57.2
8,2018,Brazil,6549,210166592,3.1160994417228800,9121.02099480377,0,0,1,16.8
9,2019,Brazil,3346,211782878,1.579919978233560,8845.32414932264,0,0,1,34.1
10,2020,Brazil,2514,213196304,1.1791949263810900,6923.6999117682,0,0,1,36.2
11,2021,Brazil,4060,214326223,1.8943085653126100,7696.78483012849,0,0,1,32.7
12,2022,Brazil,3728,215313498,1.7314288396355000,8917.67491057495,0,0,1,39.2
13,2021,Canada,1691,38226498,4.423633051607290,52515.1998350503,1,0,0,61.0
14,2022,Canada,1828,38929902,4.695619321106950,55522.445687688,1,0,0,50.7
15,2018,Chile,1033,18701450,5.523635867807040,15820.0333571155,0,0,1,33.5
16,2019,Chile,1590,19039485,8.351066218440260,14632.6903076927,0,0,1,15.3
17,2020,Chile,1048,19300315,5.4299631897199600,13173.7847941723,0,0,1,17.1
18,2021,Chile,880,19493184,4.514398468716040,16240.6077759729,0,0,1,23.2
19,2022,Chile,927,19603733,4.728691214066220,15355.4797401048,0,0,1,28.7
20,2018,Colombia,406,49276961,0.8239144455357140,6782.03792033195,0,0,1,27.5
21,2019,Colombia,624,50187406,1.243339813179430,6436.50921529527,0,0,1,32.8
22,2020,Colombia,686,50930662,1.3469292820109000,5304.28912886641,0,0,1,37.4
23,2021,Colombia,2283,51516562,4.431584545568080,6182.70709867964,0,0,1,28.9
24,2022,Colombia,1364,51874024,2.629447061982310,6624.16539269075,0,0,1,29.7
25,2018,Costa Rica,299,5040734,5.93167582340191,12383.1499522763,0,0,0,48.0
26,2019,Costa Rica,335,5084532,6.588610318511120,12669.3411549351,0,0,0,28.3
